year,song,views
2015,Leave,35762094.5
2016,Leave,118271010
2017,Leave,169622752.5
2018,Leave,195966188.5
2019,Leave,216109648.5
2020,Leave,233316371
2015,Never,29918051
2016,Never,115715748
2017,Never,171116225.5
2018,Never,213026521
2019,Never,247581790.5
2020,Never,266169358
2015,Object,0
2016,Object,111660508
2017,Object,155779432
2018,Object,188562656
2019,Object,233978127
2020,Object,257825594
2015,Soulmate,99326443.5
2016,Soulmate,154677305.5
2017,Soulmate,164285025
2018,Soulmate,167956452.5
2019,Soulmate,173228759.5
2020,Soulmate,177156749
